,demand_count,supply_bus,start_name,end_name,time0
0,15446,259,Unknown,Unknown,0
1,9307,88,Unknown,Unknown,1
2,6940,81,Unknown,Unknown,2
3,5815,81,Unknown,Unknown,3
4,15999,641,Unknown,Unknown,4
5,359253,2870,Unknown,Unknown,5
6,1344626,3363,Unknown,Unknown,6
7,2400759,3466,Unknown,Unknown,7
8,2991920,3498,Unknown,Unknown,8
9,2496807,3495,Unknown,Unknown,9
10,2054301,3472,Unknown,Unknown,10
11,1702900,3408,Unknown,Unknown,11
12,1400160,3350,Unknown,Unknown,12
13,1386690,3340,Unknown,Unknown,13
14,1437795,3370,Unknown,Unknown,14
15,1571014,3442,Unknown,Unknown,15
16,1724037,3492,Unknown,Unknown,16
17,1925298,3513,Unknown,Unknown,17
18,2012073,3481,Unknown,Unknown,18
19,1558228,3436,Unknown,Unknown,19
20,1068065,3269,Unknown,Unknown,20
21,716489,3083,Unknown,Unknown,21
22,365821,2620,Unknown,Unknown,22
23,69630,1796,Unknown,Unknown,23
24,1,1,Unknown,Unknown,48
25,34,5,Unknown,万丰路南口,0
26,15,4,Unknown,万丰路南口,1
27,21,3,Unknown,万丰路南口,2
28,3,2,Unknown,万丰路南口,3
29,8,4,Unknown,万丰路南口,4
30,106,13,Unknown,万丰路南口,5
31,530,32,Unknown,万丰路南口,6
32,1374,45,Unknown,万丰路南口,7
33,2377,45,Unknown,万丰路南口,8
34,1474,50,Unknown,万丰路南口,9
35,1471,48,Unknown,万丰路南口,10
36,1163,41,Unknown,万丰路南口,11
37,949,38,Unknown,万丰路南口,12
38,860,41,Unknown,万丰路南口,13
39,871,35,Unknown,万丰路南口,14
40,957,41,Unknown,万丰路南口,15
41,903,49,Unknown,万丰路南口,16
42,1157,49,Unknown,万丰路南口,17
43,980,46,Unknown,万丰路南口,18
44,730,42,Unknown,万丰路南口,19
45,451,41,Unknown,万丰路南口,20
46,235,28,Unknown,万丰路南口,21
47,117,28,Unknown,万丰路南口,22
48,13,7,Unknown,万丰路南口,23
49,15,3,Unknown,万寿路口东,0
50,5,2,Unknown,万寿路口东,1
51,14,5,Unknown,万寿路口东,2
52,19,3,Unknown,万寿路口东,3
53,11,3,Unknown,万寿路口东,4
54,64,24,Unknown,万寿路口东,5
55,683,67,Unknown,万寿路口东,6
56,863,88,Unknown,万寿路口东,7
57,1519,94,Unknown,万寿路口东,8
58,1214,98,Unknown,万寿路口东,9
59,972,93,Unknown,万寿路口东,10
60,779,87,Unknown,万寿路口东,11
61,697,86,Unknown,万寿路口东,12
62,677,80,Unknown,万寿路口东,13
63,766,85,Unknown,万寿路口东,14
64,607,92,Unknown,万寿路口东,15
65,624,94,Unknown,万寿路口东,16
66,792,90,Unknown,万寿路口东,17
67,714,93,Unknown,万寿路口东,18
68,428,59,Unknown,万寿路口东,19
69,272,59,Unknown,万寿路口东,20
70,202,57,Unknown,万寿路口东,21
71,90,35,Unknown,万寿路口东,22
72,5,3,Unknown,万寿路口东,23
73,52,5,Unknown,万寿路口南,0
74,15,7,Unknown,万寿路口南,1
75,3,1,Unknown,万寿路口南,2
76,24,3,Unknown,万寿路口南,3
77,2,2,Unknown,万寿路口南,4
78,12,11,Unknown,万寿路口南,5
79,208,65,Unknown,万寿路口南,6
80,555,87,Unknown,万寿路口南,7
81,635,96,Unknown,万寿路口南,8
82,714,93,Unknown,万寿路口南,9
83,611,99,Unknown,万寿路口南,10
84,576,84,Unknown,万寿路口南,11
85,413,86,Unknown,万寿路口南,12
86,417,84,Unknown,万寿路口南,13
87,469,81,Unknown,万寿路口南,14
88,683,89,Unknown,万寿路口南,15
89,719,99,Unknown,万寿路口南,16
90,936,101,Unknown,万寿路口南,17
91,847,109,Unknown,万寿路口南,18
92,630,98,Unknown,万寿路口南,19
93,330,62,Unknown,万寿路口南,20
94,266,69,Unknown,万寿路口南,21
95,155,39,Unknown,万寿路口南,22
96,25,11,Unknown,万寿路口南,23
97,174,8,Unknown,万寿路口西,0
98,100,6,Unknown,万寿路口西,1
99,54,5,Unknown,万寿路口西,2
100,85,6,Unknown,万寿路口西,3
101,52,5,Unknown,万寿路口西,4
102,591,69,Unknown,万寿路口西,5
103,2991,165,Unknown,万寿路口西,6
104,4330,174,Unknown,万寿路口西,7
105,6486,183,Unknown,万寿路口西,8
106,4386,186,Unknown,万寿路口西,9
107,3454,178,Unknown,万寿路口西,10
108,2821,164,Unknown,万寿路口西,11
109,2605,155,Unknown,万寿路口西,12
110,2448,157,Unknown,万寿路口西,13
111,2936,157,Unknown,万寿路口西,14
112,2724,168,Unknown,万寿路口西,15
113,3156,179,Unknown,万寿路口西,16
114,3498,170,Unknown,万寿路口西,17
115,3367,177,Unknown,万寿路口西,18
116,2016,155,Unknown,万寿路口西,19
117,1495,138,Unknown,万寿路口西,20
118,916,113,Unknown,万寿路口西,21
119,366,82,Unknown,万寿路口西,22
